Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,SMA_20,EMA_20,SMA_50,Volatility_20,Returns,ECB_Rate,Dividend_Flag,World_Event
2000-01-03,9.953261375427246,9.98788070678711,9.736886024475098,9.849401473999023,2.625065565109253,8797337,0.0,0.0,0.0,9.849401473999023,0.0,0.0,0.0,0.0,0,0
2000-01-04,9.728231430053711,9.780160903930664,9.529166221618652,9.615715980529785,2.5627849102020264,8811013,0.0,0.0,0.0,9.82714571271624,0.0,0.0,-0.02372585726007148,0.0,0,0
2000-01-05,9.433960914611816,9.555130958557129,9.304136276245117,9.382031440734863,2.500502109527588,9333517,0.0,0.0,0.0,9.784753877289441,0.0,0.0,-0.024302354631531742,0.0,0,0
2000-01-06,9.382031440734863,9.382031440734863,9.382031440734863,9.382031440734863,2.500502109527588,0,0.0,0.0,0.0,9.74639935952234,0.0,0.0,0.0,0.0,0,0
2000-01-07,9.451271057128906,9.82343578338623,9.44261646270752,9.797471046447754,2.6112258434295654,9603132,0.0,0.0,0.0,9.751263329705711,0.0,0.0,0.04428034678173609,0.0,0,0
2000-01-10,9.884020805358887,9.884020805358887,9.624370574951172,9.710921287536621,2.58815860748291,6747710,0.0,0.0,0.0,9.747421230451513,0.0,0.0,-0.008833887694162934,0.0,0,0
2000-01-11,9.693611145019531,9.710921287536621,9.217584609985352,9.382031440734863,2.500502109527588,15293569,0.0,0.0,0.0,9.712622202859452,0.0,0.0,-0.03386803754900869,0.0,0,0
2000-01-12,9.278169631958008,9.295480728149414,9.139690399169922,9.295480728149414,2.477435350418091,12052290,0.0,0.0,0.0,9.672894443363257,0.0,0.0,-0.009225156953712954,0.0,0,0
2000-01-13,9.347411155700684,9.35606575012207,9.096414566040039,9.217584609985352,2.4566750526428223,11043549,0.0,0.0,0.0,9.62953160208917,0.0,0.0,-0.008379998887865003,0.0,0,0
2000-01-14,9.260860443115234,9.529166221618652,9.191619873046875,9.459925651550293,2.5212631225585938,15745712,0.0,0.0,0.0,9.613378654418801,0.0,0.0,0.02629116539949239,0.0,0,0
