Date,index,Open,High,Low,Close,Volume,SMA_20,EMA_20,SMA_50,Volatility_20,Returns,ECB_Rate,Dividend_Flag,World_Event
2000-01-03,0,13.69060230255127,13.757854461669922,13.594527244567871,13.6233491897583,8244257,0.0,13.6233491897583,0.0,0.0,0.0,0.0,0,0
2000-01-04,1,13.45041561126709,13.536882400512695,13.219837188720703,13.267873764038086,8522096,0.0,13.589494387308756,0.0,0.0,-0.026093100952550796,0.0,0,0
2000-01-05,2,13.142976760864258,13.210229873657227,12.912399291992188,12.970044136047363,12159826,0.0,13.53049912528386,0.0,0.0,-0.022447427017128763,0.0,0,0
2000-01-06,3,12.970044136047363,12.970044136047363,12.970044136047363,12.970044136047363,0,0.0,13.47712245964229,0.0,0.0,0.0,0.0,0,0
2000-01-07,4,13.248659133911133,13.248659133911133,12.998866081237793,13.133370399475098,62261944,0.0,13.444384168197795,0.0,0.0,0.012592575762622626,0.0,0,0
2000-01-10,5,13.277482032775879,13.277482032775879,12.902791023254395,12.922005653381348,58740351,0.0,13.394633833453371,0.0,0.0,-0.01609371697170725,0.0,0,0
2000-01-11,6,12.873969078063965,12.893183708190918,12.53770923614502,12.662605285644531,6761292,0.0,13.324916828900149,0.0,0.0,-0.020074311580953186,0.0,0,0
2000-01-12,7,12.643390655517578,12.643390655517578,12.393596649169922,12.51849365234375,8266754,0.0,13.248114621609062,0.0,0.0,-0.011380883321393531,0.0,0,0
2000-01-13,8,12.48967170715332,12.53770923614502,12.105374336242676,12.211055755615234,9372669,0.0,13.149347110562031,0.0,0.0,-0.02455869733743532,0.0,0,0
2000-01-14,9,12.29752254486084,12.480064392089844,12.230271339416504,12.451242446899414,8538333,0.0,13.082860952117972,0.0,0.0,0.01966960892580727,0.0,0,0
2000-01-17,10,12.53770923614502,12.53770923614502,12.307129859924316,12.335951805114746,6825078,0.0,13.011726747641474,0.0,0.0,-0.009259368474780372,0.0,0,0
2000-01-18,11,12.307129859924316,12.326345443725586,11.942047119140625,12.076552391052246,9698972,0.0,12.922662523204405,0.0,0.0,-0.02102792051724356,0.0,0,0
2000-01-19,12,11.85558032989502,12.057336807250977,11.817151069641113,12.057336807250977,13027455,0.0,12.84025055025646,0.0,0.0,-0.0015911481339249134,0.0,0,0
2000-01-20,13,12.105374336242676,12.163019180297852,11.922833442687988,12.038122177124023,9459285,0.0,12.763857371862894,0.0,0.0,-0.0015936048261833147,0.0,0,0
2000-01-21,14,11.942047119140625,12.009300231933594,11.749898910522461,11.788328170776367,6786146,0.0,12.670949828902273,0.0,0.0,-0.020750246813605044,0.0,0,0
2000-01-24,15,12.047728538513184,12.047728538513184,11.817151069641113,11.845973014831543,5863878,0.0,12.592380608514585,0.0,0.0,0.0048899931542523145,0.0,0,0
2000-01-25,16,11.836365699768066,12.259093284606934,11.79793643951416,12.105374336242676,9429700,0.0,12.545999058774402,0.0,0.0,0.021897848415352028,0.0,0,0
2000-01-26,17,12.29752254486084,12.53770923614502,12.153410911560059,12.480064392089844,9120798,0.0,12.539719566709206,0.0,0.0,0.030952372511552362,0.0,0,0
2000-01-27,18,12.614567756652832,13.114154815673828,12.54731559753418,12.970044136047363,13662088,0.0,12.580702859027125,0.0,0.0,0.03926099486057777,0.0,0,0
2000-01-28,19,13.171799659729004,13.171799659729004,12.585745811462402,12.922005653381348,16119882,12.56749186515808,12.613207887060861,0.0,0.5129432908672374,-0.0037038025593532087,0.0,0,0
2000-01-31,20,12.93161392211914,12.97965145111084,12.585745811462402,12.7298583984375,9868382,12.52281732559204,12.624317459572922,0.0,0.45135570549512305,-0.014869770227469936,0.0,0,0
2000-02-01,21,12.902791023254395,13.00847339630127,12.691428184509277,12.902791023254395,9530743,12.504563188552856,12.65083875135211,0.0,0.42632605071467083,0.01358480349146074,0.0,0,0
2000-02-02,22,12.93161392211914,12.93161392211914,12.672212600708008,12.864361763000488,7648463,12.499279069900513,12.671174276271003,0.0,0.4208730395097237,-0.0029783680278666624,0.0,0,0
2000-02-03,23,12.893183708190918,13.114154815673828,12.691428184509277,12.970044136047363,7766488,12.499279069900513,12.69963807244018,0.0,0.4208730395097237,0.00821512757444598,0.0,0,0
2000-02-04,24,13.114154815673828,13.114154815673828,12.7298583984375,12.777894973754883,10516943,12.481505298614502,12.707091110660627,0.0,0.3996567646487941,-0.014814842592435373,0.0,0,0
2000-02-07,25,12.806716918945312,12.854754447937012,12.508886337280273,12.53770923614502,8135156,12.462290477752685,12.690959503563903,0.0,0.38638126754544533,-0.018796972279330193,0.0,0,0
2000-02-08,26,12.528100967407227,13.018080711364746,12.383990287780762,13.018080711364746,13714517,12.480064249038696,12.722113904306841,0.0,0.4038614807405946,0.03831413427860175,0.0,0,0
2000-02-09,27,13.066118240356445,13.066118240356445,12.652997970581055,12.701034545898438,9070278,12.48919129371643,12.720106346363183,0.0,0.40682744376834545,-0.02435429403886924,0.0,0,0
2000-02-10,28,12.585745811462402,12.681819915771484,12.48967170715332,12.508886337280273,8404876,12.504082822799683,12.699990155021954,0.0,0.401527096514769,-0.015128547830004502,0.0,0,0
2000-02-11,29,12.528100967407227,13.6233491897583,12.29752254486084,13.469630241394043,24338356,12.555002212524414,12.773289210866915,0.0,0.4554286704047539,0.07680491118145838,0.0,0,0
2000-02-14,30,14.411160469055176,16.17892837524414,14.026862144470215,15.035642623901367,59647471,12.689986753463746,12.98875144067972,0.0,0.7138504725642635,0.11626246262460493,0.0,0,0
2000-02-15,31,15.275829315185547,15.275829315185547,14.593701362609863,14.651346206665039,23093519,12.818726444244385,13.14709379934499,0.0,0.8214627029510481,-0.02555902842658897,0.0,0,0
2000-02-16,32,14.699382781982422,14.939569473266602,14.564879417419434,14.708990097045898,19374515,12.951309108734131,13.295845827697457,0.0,0.902133077876241,0.0039343750101705766,0.0,0,0
2000-02-17,33,14.574485778808594,14.843494415283203,14.574485778808594,14.708990097045898,10019217,13.084852504730225,13.430430996206832,0.0,0.9559204169169954,0.0,0.0,0,0
2000-02-18,34,14.6609525680542,14.795456886291504,14.526449203491211,14.728204727172852,13772503,13.231846332550049,13.554028494394071,0.0,0.9719589686007871,0.001306318788725891,0.0,0,0
2000-02-21,35,14.411160469055176,14.699382781982422,14.411160469055176,14.641737937927246,10726790,13.371634578704834,13.65761986996866,0.0,0.9631558573967297,-0.0058708302096098786,0.0,0,0
2000-02-22,36,14.411160469055176,14.603307723999023,14.411160469055176,14.439982414245605,14620960,13.488364982604981,13.732130588471225,0.0,0.9428720753573665,-0.013779479221453839,0.0,0,0
2000-02-23,37,14.449588775634766,14.87231731414795,14.439982414245605,14.833887100219727,14342436,13.606056118011475,13.83705978006632,0.0,0.9571856466355533,0.02727875108667166,0.0,0,0
2000-02-24,38,14.891531944274902,15.2950439453125,14.795456886291504,15.054858207702637,17306014,13.710296821594238,13.953040582698351,0.0,0.9969711142043732,0.014896372474052066,0.0,0,0
2000-02-25,39,15.083680152893066,15.256613731384277,15.026036262512207,15.083680152893066,10362673,13.818380546569824,14.060720541764514,0.0,1.0238270214022671,0.0019144614178885355,0.0,0,0
2000-02-28,40,14.85310173034668,14.891531944274902,14.58409309387207,14.747420310974121,7457895,13.919258642196656,14.126120519784477,0.0,1.010234997118028,-0.022292957587969675,0.0,0,0
2000-02-29,41,14.824278831481934,14.862709045410156,14.507233619689941,14.507233619689941,8498634,13.999480772018433,14.16241700548976,0.0,0.9887449937374465,-0.016286691924380037,0.0,0,0
2000-03-01,42,14.55527114868164,14.689775466918945,14.420766830444336,14.651346206665039,9312142,14.08882999420166,14.208981691315977,0.0,0.9611255545435027,0.009933843402059939,0.0,0,0
