Date,Open,High,Low,Close,Volume,SMA_20,EMA_20,SMA_50,Volatility_20,Returns,ECB_Rate,Dividend_Flag,World_Event
2000-01-03,0.6732457308556155,0.6682077215874137,0.6729640177135222,0.669129356286867,0.013719806206955378,0.0,0.6864876289341689,0.0,0.0,0.4234700115314069,0.0,0.0,0.0
2000-01-04,0.6592339261323963,0.6554036024481427,0.650973669592992,0.6483798318126912,0.014182176222438189,0.0,0.6844253213384874,0.0,0.0,0.3551749263843125,0.0,0.0,0.0
2000-01-05,0.641298822762832,0.6364758798704663,0.6329303127731323,0.6309951612898063,0.020235960163577794,0.0,0.680831551232622,0.0,0.0,0.3647169740041393,0.0,0.0,0.0
2000-01-06,0.6312104279552233,0.6225584335480454,0.636313456169508,0.6309951612898063,0.0,0.0,0.6775800449463628,0.0,0.0,0.4234700115314069,0.0,0.0,0.0
2000-01-07,0.6474640301933601,0.6387026447571591,0.6380049998823917,0.6405287100390714,0.10361416507858842,0.0,0.67558575101373,0.0,0.0,0.4564293380404886,0.0,0.0,0.0
2000-01-10,0.6491454756901553,0.6403727736823756,0.6323664088982298,0.6281910977746948,0.09775365229984187,0.0,0.6725551472054807,0.0,0.0,0.38134693183632995,0.0,0.0,0.0
2000-01-11,0.6256056838120829,0.6181047932542661,0.6109399646526021,0.6130495889965278,0.011251907351825366,0.0,0.668308248755769,0.0,0.0,0.3709282756456046,0.0,0.0,0.0
2000-01-12,0.6121543980108839,0.6036306557101722,0.602482078176359,0.6046376211196216,0.01375724493311807,0.0,0.6636297463277143,0.0,0.0,0.3936821225067513,0.0,1.0,0.0
2000-01-13,0.6031868741434179,0.59750699701157,0.5855664731356964,0.5866921044934502,0.015597670271795051,0.0,0.6576131999738432,0.0,0.0,0.35919101576115103,0.0,0.0,0.0
2000-01-14,0.5919774414917693,0.5941667944213339,0.5928966078327425,0.6007120880663652,0.014209197273987447,0.0,0.6535631125520894,0.0,0.0,0.4749524941554867,0.0,0.0,0.0
2000-01-17,0.6059892462149883,0.59750699701157,0.5974073910670994,0.5939824358308905,0.011358057797974346,0.0,0.649229883598139,0.0,0.0,0.3992348943813456,0.0,0.0,0.0
2000-01-18,0.5925379047791568,0.5852596243541689,0.5759808908508639,0.5788409827198305,0.01614069239310303,0.0,0.643804425073199,0.0,0.0,0.36843233606297643,0.0,0.0,0.0
2000-01-19,0.5661957964641466,0.5696720491065317,0.5686508121244258,0.5777193461803645,0.021679838215843083,0.0,0.6387841967602756,0.0,0.0,0.4193054012198288,0.0,0.0,0.0
2000-01-20,0.580768064474753,0.5757957630653305,0.5748532510128826,0.5765977653080055,0.015741813611142873,0.0,0.6341306108386301,0.0,0.0,0.41929897116740716,0.0,0.0,0.0
2000-01-21,0.5712400216852669,0.5668885929981655,0.5647038208237555,0.562016991298911,0.0112932685155382,0.0,0.6284710317632731,0.0,0.0,0.369159108602108,0.0,0.0,0.0
